CMDLINE /usr/local/bin/python3 diffusion.py
MEM 103.453125 1737501795.4160
MEM 103.453125 1737501795.5210
MEM 103.453125 1737501795.6261
MEM 103.453125 1737501795.7311
MEM 103.453125 1737501795.8362
MEM 103.453125 1737501795.9413
MEM 103.453125 1737501796.0463
MEM 103.453125 1737501796.1515
MEM 103.453125 1737501796.2561
MEM 103.453125 1737501796.3611
MEM 103.453125 1737501796.4662
MEM 103.453125 1737501796.5693
MEM 103.453125 1737501796.6744
MEM 103.453125 1737501796.7795
MEM 103.453125 1737501796.8846
MEM 103.468750 1737501796.9896
MEM 103.468750 1737501797.0924
MEM 103.468750 1737501797.1975
MEM 103.468750 1737501797.3025
MEM 103.468750 1737501797.4076
MEM 103.468750 1737501797.5127
MEM 103.468750 1737501797.6177
MEM 103.468750 1737501797.7228
MEM 103.468750 1737501797.8261
MEM 103.468750 1737501797.9312
MEM 103.468750 1737501798.0360
MEM 103.468750 1737501798.1410
MEM 103.468750 1737501798.2461
MEM 103.468750 1737501798.3512
FUNC __main__.evolve 51.2812 1737501782.5630 67.0156 1737501782.6319 1
FUNC __main__.evolve 67.0156 1737501782.6324 79.5781 1737501782.6987 1
FUNC __main__.evolve 69.5938 1737501782.7005 79.5938 1737501782.7671 1
FUNC __main__.evolve 68.5938 1737501782.7690 79.5938 1737501782.8356 1
FUNC __main__.evolve 70.5938 1737501782.8374 79.5938 1737501782.9036 1
FUNC __main__.evolve 69.5938 1737501782.9055 79.5938 1737501782.9715 1
FUNC __main__.evolve 71.5938 1737501782.9733 79.5938 1737501783.0395 1
FUNC __main__.evolve 70.5938 1737501783.0413 79.5938 1737501783.1072 1
FUNC __main__.evolve 72.5938 1737501783.1089 79.5938 1737501783.1747 1
FUNC __main__.evolve 71.5938 1737501783.1765 79.5938 1737501783.2428 1
FUNC __main__.evolve 73.5938 1737501783.2445 79.5938 1737501783.3109 1
FUNC __main__.evolve 72.5938 1737501783.3126 79.5938 1737501783.3788 1
FUNC __main__.evolve 74.5938 1737501783.3806 79.5938 1737501783.4465 1
FUNC __main__.evolve 73.5938 1737501783.4482 79.5938 1737501783.5144 1
FUNC __main__.evolve 75.5938 1737501783.5161 79.5938 1737501783.5820 1
FUNC __main__.evolve 74.5938 1737501783.5837 79.5938 1737501783.6495 1
FUNC __main__.evolve 76.5938 1737501783.6512 79.5938 1737501783.7166 1
FUNC __main__.evolve 75.5938 1737501783.7183 79.5938 1737501783.7833 1
FUNC __main__.evolve 77.5938 1737501783.7852 82.6875 1737501783.8497 1
FUNC __main__.evolve 79.6875 1737501783.8517 85.8438 1737501783.9321 1
FUNC __main__.evolve 84.8438 1737501783.9337 88.9688 1737501783.9978 1
FUNC __main__.evolve 86.9688 1737501783.9994 92.0781 1737501784.0648 1
FUNC __main__.evolve 92.0938 1737501784.0664 95.7031 1737501784.1315 1
FUNC __main__.evolve 94.7031 1737501784.1331 95.2500 1737501784.1979 1
FUNC __main__.evolve 95.2500 1737501784.1996 95.7031 1737501784.2642 1
FUNC __main__.evolve 95.7031 1737501784.2658 95.7031 1737501784.3307 1
